algo,lam,thresh,f_mean,f_std,t_mean,mem_mean,eps,min_samples,metric,ker_win,peak_thr,model,penalty,min_size,jump,seg_len
foote_novelty,,,0.10892848886922515,0.025765085234430593,0.01631537100876726,0.01033490476190476,,,,20.0,1.2,,,,,
foote_novelty,,,0.10869721408601775,0.024270328316807553,0.016202490999906633,0.008672023809523808,,,,8.0,1.5,,,,,
foote_novelty,,,0.10855493480700229,0.022196102091209254,0.017245746022256623,0.011266595238095237,,,,32.0,0.8,,,,,
foote_novelty,,,0.10723215118871614,0.025271050658831756,0.01625984828292747,0.011110904761904763,,,,16.0,1.2,,,,,
foote_novelty,,,0.10636331707693164,0.027513896653558155,0.01649045635436085,0.007679904761904761,,,,4.0,1.5,,,,,
foote_novelty,,,0.10632294467068211,0.024695533676626913,0.016149374024410332,0.008278809523809525,,,,6.0,1.5,,,,,
foote_novelty,,,0.10625458733426221,0.02859885109661097,0.016423835258354388,0.011495357142857142,,,,24.0,0.8,,,,,
foote_novelty,,,0.10591148461301109,0.022228177943407704,0.016279411570091423,0.010606333333333332,,,,10.0,1.2,,,,,
foote_novelty,,,0.10486116368232612,0.024185732701373253,0.016177485168944777,0.010827928571428572,,,,12.0,1.2,,,,,
foote_novelty,,,0.10404464873854403,0.02310155126423821,0.01631896721803406,0.011539119047619048,,,,20.0,1.0,,,,,
foote_novelty,,,0.10362087799379342,0.02046249444230545,0.01622693847665297,0.010338119047619047,,,,8.0,1.2,,,,,
foote_novelty,,,0.10228003224889855,0.021224321306045044,0.016294800544745244,0.012199952380952379,,,,16.0,1.0,,,,,
foote_novelty,,,0.1019898365640864,0.022389588319750162,0.0163173134995824,0.012857761904761905,,,,20.0,0.8,,,,,
foote_novelty,,,0.1018195830353126,0.02093915996957114,0.016227700423249707,0.011928095238095238,,,,10.0,1.0,,,,,
foote_novelty,,,0.10158047807345534,0.017962953650630303,0.016200062404442134,0.010057309523809524,,,,6.0,1.2,,,,,
foote_novelty,,,0.10107958310550391,0.02099330189366853,0.01620893944969534,0.012019166666666666,,,,12.0,1.0,,,,,
foote_novelty,,,0.10102303244935766,0.019842395051776526,0.016267497043979045,0.011639880952380952,,,,8.0,1.0,,,,,
foote_novelty,,,0.09912158835772863,0.02068908029909749,0.0164006100731924,0.009522428571428572,,,,4.0,1.2,,,,,
foote_novelty,,,0.09821289531652894,0.01696895512776839,0.016199947379174687,0.011356285714285715,,,,6.0,1.0,,,,,
foote_novelty,,,0.09642140560309978,0.018129141914025874,0.01631393449635999,0.0132935,,,,12.0,0.8,,,,,
foote_novelty,,,0.09621807206144246,0.019176628000028905,0.016304618026229685,0.013457047619047617,,,,16.0,0.8,,,,,
foote_novelty,,,0.09567529156241848,0.01694471692448404,0.016206603139705424,0.013392023809523809,,,,10.0,0.8,,,,,
foote_novelty,,,0.09544097733181298,0.018004938111589066,0.01629334221278051,0.01308497619047619,,,,8.0,0.8,,,,,
foote_novelty,,,0.09510959719234682,0.0183574408531939,0.016343324263635578,0.010981880952380955,,,,4.0,1.0,,,,,
foote_novelty,,,0.09467485994867503,0.01954197880215715,0.016281897759264603,0.012867809523809523,,,,6.0,0.8,,,,,
foote_novelty,,,0.09161785969390775,0.01939745472832495,0.016570278738592088,0.012887333333333336,,,,4.0,0.8,,,,,
